TxPackets;TxTime;TxId;xPos;yPos
14573;1742;15;3;8
14592;1746;0;65;54
14611;1748;17;17;41
14630;1749;13;87;90
14649;1751;6;78;15
14668;1752;4;59;25
14687;1753;-1;66;72
14706;1755;9;4;40
14725;1755;10;42;16
14744;1756;2;5;26
14763;1756;16;32;89
14782;1757;5;31;25
14801;1757;18;63;53
14820;1758;11;99;17
14839;1759;3;17;55
14858;1759;14;8;71
14877;1760;1;71;52
14896;1761;7;42;76
14915;1762;8;86;96
14934;1762;12;40;47
14953;1762;15;3;8
14972;1766;0;65;54
14991;1768;17;17;41
15010;1769;13;87;90
15029;1771;6;78;15
15048;1772;4;59;25
15067;1773;-1;66;72
15086;1775;9;4;40
15105;1775;10;42;16
15124;1776;2;5;26
15143;1776;16;32;89
15162;1777;5;31;25
15181;1777;18;63;53
15200;1778;11;99;17
15219;1779;3;17;55
15238;1779;14;8;71
15257;1780;1;71;52
15276;1781;7;42;76
15295;1782;8;86;96
15314;1782;12;40;47
15333;1782;15;3;8
15352;1786;0;65;54
15371;1788;17;17;41
15390;1789;13;87;90
15409;1791;6;78;15
15428;1792;4;59;25
15447;1793;-1;66;72
15466;1795;9;4;40
15485;1795;10;42;16
15504;1796;2;5;26
15523;1796;16;32;89
15542;1797;5;31;25
15561;1797;18;63;53
15580;1798;11;99;17
15599;1799;3;17;55
15618;1799;14;8;71
15637;1800;1;71;52
15656;1801;7;42;76
15675;1802;8;86;96
15694;1802;12;40;47
15713;1802;15;3;8
15732;1806;0;65;54
15751;1808;17;17;41
15770;1809;13;87;90
15789;1811;6;78;15
15808;1812;4;59;25
15827;1813;-1;66;72
15846;1815;9;4;40
15865;1815;10;42;16
15884;1816;2;5;26
15903;1816;16;32;89
15922;1817;5;31;25
15941;1817;18;63;53
15960;1818;11;99;17
15979;1819;3;17;55
15998;1819;14;8;71
16017;1820;1;71;52
16036;1821;7;42;76
16055;1822;8;86;96
16074;1822;12;40;47
16093;1822;15;3;8
16112;1826;0;65;54
16131;1828;17;17;41
16150;1829;13;87;90
16169;1831;6;78;15
16188;1832;4;59;25
16207;1833;-1;66;72
16226;1835;9;4;40
16245;1835;10;42;16
16264;1836;2;5;26
16283;1836;16;32;89
16302;1837;5;31;25
16321;1837;18;63;53
16340;1838;11;99;17
16359;1839;3;17;55
16378;1839;14;8;71
16397;1840;1;71;52
16416;1841;7;42;76
16435;1842;8;86;96
16454;1842;12;40;47
16473;1842;15;3;8
16492;1846;0;65;54
16511;1848;17;17;41
16530;1849;13;87;90
16549;1851;6;78;15
16568;1852;4;59;25
16587;1853;-1;66;72
16606;1855;9;4;40
16625;1855;10;42;16
16644;1856;2;5;26
16663;1856;16;32;89
16682;1857;5;31;25
16701;1857;18;63;53
16720;1858;11;99;17
16739;1859;3;17;55
16758;1859;14;8;71
16777;1860;1;71;52
16796;1861;7;42;76
16815;1862;8;86;96
16834;1862;12;40;47
16853;1862;15;3;8
16872;1866;0;65;54
16891;1868;17;17;41
16910;1869;13;87;90
16929;1871;6;78;15
16948;1872;4;59;25
16967;1873;-1;66;72
16986;1875;9;4;40
17005;1875;10;42;16
17024;1876;2;5;26
17043;1876;16;32;89
17062;1877;5;31;25
17081;1877;18;63;53
17100;1878;11;99;17
17119;1879;3;17;55
17138;1879;14;8;71
17157;1880;1;71;52
17176;1881;7;42;76
17195;1882;8;86;96
17214;1882;12;40;47
17233;1882;15;3;8
17252;1886;0;65;54
17271;1888;17;17;41
17290;1889;13;87;90
17309;1891;6;78;15
17328;1892;4;59;25
17347;1893;-1;66;72
17366;1895;9;4;40
17385;1895;10;42;16
17404;1896;2;5;26
17423;1896;16;32;89
17442;1897;5;31;25
17461;1897;18;63;53
17480;1898;11;99;17
17499;1899;3;17;55
17518;1899;14;8;71
17537;1900;1;71;52
17556;1901;7;42;76
17575;1902;8;86;96
17594;1902;12;40;47
17613;1902;15;3;8
17632;1906;0;65;54
17651;1908;17;17;41
17670;1909;13;87;90
17689;1911;6;78;15
17708;1912;4;59;25
17727;1913;-1;66;72
17746;1915;9;4;40
17765;1915;10;42;16
17784;1916;2;5;26
17803;1916;16;32;89
17822;1917;5;31;25
17841;1917;18;63;53
17860;1918;11;99;17
